Gene.Model.ID	Gene.Symbol	Full.Name	Source	Chromosome	Start	End
GRMZM2G173660	mis12a	minichromosome instability12a	from: FJ971487	Chr10	"147,960,260"	"147,963,853"
GRMZM2G173669	sweet13a	sugars will eventually be exported transporter13a	"Sosso et al., 2015"	Chr10	"14,767,640"	"14,770,295"
GRMZM2G173680	wrky110	WRKY-transcription factor 110	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"116,043,878"	"116,046,928"
GRMZM2G173682	atg4b	autophagy4b		Chr10	"147,965,797"	"147,969,285"
GRMZM2G173700	krp3	kinesin-related protein3		Chr8	"123,987,283"	"123,994,126"
GRMZM2G173771	ereb7	AP2-EREBP-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"178,620,836"	"178,621,888"
GRMZM2G173809	umc2194			Chr2	"170,630,783"	"170,633,324"
GRMZM2G173852	phd15	PHD-transcription factor 15	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"276,041,856"	"276,051,331"
GRMZM2G173862	bhlh79	bHLH-transcription factor 79	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"171,949,309"	"171,951,373"
GRMZM2G173878	ras2	Ras-related protein2		Chr10	"124,319,406"	"124,322,173"
GRMZM2G173882	glk27	G2-like-transcription factor 27	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"237,012,379"	"237,014,288"
GRMZM2G173923	caf1	crs2 associated factor1	Belcher et al. 2015	Chr7	"42,211,043"	"42,244,189"
GRMZM2G173928	cdpk13	calcium dependent protein kinase13	from: D84508	Chr6	"84,540,654"	"84,547,361"
GRMZM2G173943	glk7	G2-like-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"83,291,537"	"83,295,947"
GRMZM2G174070	nactf57	NAC-transcription factor 57	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"154,227,661"	"154,232,106"
GRMZM2G174170	umc21			Chr6	"121,033,833"	"121,040,632"
GRMZM2G174240	gbptf16	GeBP-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"210,638,738"	"210,640,244"
GRMZM2G174249	incw8	invertase cell wall8		Chr3	"145,763,792"	"145,767,226"
GRMZM2G174284	bzip52	bZIP-transcription factor 52	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"51,753,616"	"51,759,590"
GRMZM2G174315	pco139551			Chr6	"118,783,891"	"118,788,430"
GRMZM2G174347	ereb92	AP2-EREBP-transcription factor 92	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"120,487,038"	"120,488,230"
GRMZM2G174396	trpp8	trehalose-6-phosphate phosphatase8	"Zhou et al., 2013"	Chr7	"100,351,591"	"100,353,678"
GRMZM2G174449	GRMZM2G174449			Chr4	"25,096,837"	"25,098,362"
GRMZM2G174610	abi45	ABI3-VP1-transcription factor 45	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"154,832,684"	"154,837,678"
GRMZM2G174680	plt4	phospholipid transfer protein homolog4		Chr1	"52,623,482"	"52,624,713"
GRMZM2G174738	gpm46		from aligment to BT016800 [Fig 1 Kirchberger et al 2007)	Chr9	"85,075,052"	"85,078,713"
GRMZM2G174739	npi570			Chr4	"185,890,136"	"185,893,110"
GRMZM2G174776	ca5p14	CCAAT-HAP5-transcription factor 514	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"198,165,814"	"198,167,061"
GRMZM2G174784	ereb197	AP2-EREBP-transcription factor 197	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"5,520,018"	"5,524,385"
GRMZM2G174807	pip1a	plasma membrane intrinsic protein1	from: X82633 (chr 2 hit)	Chr2	"18,757,671"	"18,759,694"
GRMZM2G174834	wri2	WRI1 transcription factor2	from Pouvreau et al 2011	Chr4	"185,907,968"	"185,912,697"
GRMZM2G174883	leg1	legumin1	from BT042037	Chr6	"40,050,689"	"40,052,652"
GRMZM2G174896	cipk3	calcineurin B-like-interacting protein kinase3		Chr1	"52,148,170"	"52,153,288"
GRMZM2G174917	ereb47	AP2-EREBP-transcription factor 47	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"5,568,515"	"5,570,186"
GRMZM2G174919	rpl7	ribosomal protein L7	from: EU951421	Chr2	"135,231,574"	"135,241,133"
GRMZM2G174984	psb3	photosystem II3	from: BT085953	Chr4	"27,121,588"	"27,123,964"
GRMZM2G175000	cchh4	Cys2His2 Zinc Finger4	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"40,052,653"	"40,057,169"
GRMZM2G175038	sbip2a	small basic membrane intrinsic protein2a	from: Entrez gene 542646	Chr1	"52,193,686"	"52,196,261"
GRMZM2G175065	acm1	accomplice1		Chr3	"1,545,604"	"1,548,842"
GRMZM2G175134	gst14	glutathione transferase14		Chr1	"85,725,085"	"85,726,426"
GRMZM2G175140	amt1	ammonium transporter1	"Gu et al., 2013"	Chr10	"130,101,668"	"130,103,747"
GRMZM2G175218	amyb4	beta amylase4	from: Entrez Gene 100192000	Chr3	"1,535,920"	"1,540,195"
GRMZM2G175232	myb99	MYB-transcription factor 99	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"162,305,213"	"162,306,663"
GRMZM2G175265	mybr48	MYB-related-transcription factor 48	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"78,356,797"	"78,358,456"
GRMZM2G175280	bzip127	bZIP-transcription factor 127	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"197,089,134"	"197,092,935"
GRMZM2G175396	ufg50			Chr1	"197,293,338"	"197,296,143"
GRMZM2G175423	sodh1	sorbitol dehydrogenase homolog1	from: EU963336	Chr1	"197,301,249"	"197,304,338"
GRMZM2G175480	bhlh44	bHLH-transcription factor 44	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"91,709,652"	"91,711,010"
GRMZM2G175525	ereb21	AP2-EREBP-transcription factor 21	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"116,699,951"	"116,700,712"
GRMZM2G175543	ereb19	AP2-EREBP-transcription factor 19	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"88,910,388"	"88,912,086"
GRMZM2G175562	oec33	"oxygen evolving complex, 33kDa subunit"	chr 6 B73_V2 alignment to EU959681	Chr6	"88,908,079"	"88,909,780"
GRMZM2G175576	GRMZM2G175576			Chr2	"159,040,587"	"159,044,553"
GRMZM2G175761	limtf7	LIM-transcription factor 7	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"134,641,615"	"134,643,267"
GRMZM2G175818	acpt1	acyl carrier protein1		Chr1	"206,784,775"	"206,787,442"
GRMZM2G175827	kan3	kanadi3	Classical Gene	Chr4	"80,099,618"	"80,112,468"
GRMZM2G175856	ereb79	AP2-EREBP-transcription factor 79	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"197,306,494"	"197,307,177"
GRMZM2G175870	bzip73	bZIP-transcription factor 73	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"156,230,705"	"156,237,177"
GRMZM2G175896	meg12	maternally expressed gene12	"Xiong et al., 2014"	Chr7	"12,531,786"	"12,532,621"
GRMZM2G175912	meg13	maternally expressed gene13	"Xiong et al., 2014"	Chr7	"12,484,473"	"12,485,342"
GRMZM2G175930	mterf24	mTERF-domain protein24	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"4,166,250"	"4,167,474"
GRMZM2G175955	bhlh64	bHLH-transcription factor 64	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"182,200,079"	"182,224,660"
GRMZM2G175976	betl3	basal endosperm transfer layer3	Classical Gene	Chr3	"132,282,587"	"132,283,333"
GRMZM2G175995	zar5	Zea mays ARGOS5		Chr6	"3,976,733"	"3,977,389"
GRMZM2G176063	dof46	C2C2-Dof-transcription factor 46	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"126,327,930"	"126,330,315"
GRMZM2G176141	bhlh138	bHLH-transcription factor 138	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"180,804,696"	"180,807,605"
GRMZM2G176173	col17	C2C2-CO-like-transcription factor 17		Chr4	"25,769,175"	"25,770,329"
GRMZM2G176175	pza03344			Chr7	"22,015,365"	"22,026,546"
GRMZM2G176175	sid1	sister of indeterminate spikelet1	"from: FJ686697; ereb121 locus assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"22,015,365"	"22,026,546"
GRMZM2G176209	tls1	tasselless1	"from: Leonard, A et al. 2014"	Chr1	"223,906,865"	"223,910,808"
GRMZM2G176217	rop6	Rho-related protein6	from Entrez Gene 542017	Chr6	"158,645,247"	"158,647,592"
GRMZM2G176289	bhlh11	bHLH-transcription factor 11	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"160,021,000"	"160,023,829"
GRMZM2G176307	gpc4	glyceraldehyde-3-phosphate dehydrogenase4	from: BT042907	Chr5	"181,570,933"	"181,575,725"
GRMZM2G176327	myb110	MYB-transcription factor 110	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"218,127,126"	"218,128,844"
GRMZM2G176340	tubtf6	TUB-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"160,005,783"	"160,009,342"
GRMZM2G176358	uaz248b(his3)			Chr5	"175,696,565"	"175,700,974"
GRMZM2G176407	mlkp4	Maize LINC KASH AtWIP-like4		Chr7	"131,267,709"	"131,270,889"
GRMZM2G176443	pdi11	protein disulfide isomerase11	from: AY739293	Chr10	"117,344,580"	"117,348,113"
GRMZM2G176489	wrky56	WRKY-transcription factor 56	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"8,219,105"	"8,221,465"
GRMZM2G176537	gras30	GRAS-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"117,338,432"	"117,340,217"
GRMZM2G176568	mybr18	MYB-related-transcription factor 18	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"13,792,506"	"13,793,319"
GRMZM2G176595	expb6	beta expansin6		Chr1	"91,884,842"	"91,886,219"
GRMZM2G176604	umc1292			Chr1	"5,401,254"	"5,405,109"
GRMZM2G176655	nlp8	NLP-transcription factor 8	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"133,982,025"	"133,991,228"
GRMZM2G176677	ras18A1	ras-related protein18A1	"from: BT087588; nactf120 locus assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"27,056,209"	"27,064,181"
GRMZM2G176723	hagtf22	GNAT-transcription factor 22	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"14,609,875"	"14,610,673"
GRMZM2G176962	umc1590			Chr1	"182,873,055"	"182,876,103"
GRMZM2G176963	ga2ox5	gibberellin 2-oxidase5	"Nelissen, et al. (2012)"	Chr3	"60,943,471"	"60,951,573"
GRMZM2G177019	mterf10	mTERF domain protein10	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"125,764,251"	"125,766,015"
GRMZM2G177046	bzip26	bZIP-transcription factor 26	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"281,401,644"	"281,402,596"
GRMZM2G177098	stc1	sesquiterpene cyclase1	Classical Gene	Chr9	"11,745,997"	"11,754,981"
GRMZM2G177098	stc1	sesquiterpene cyclase1	from alignment of B73_v2 assembly to cDNA sequence accession AF296122 (Aug 2012 M Schaeffer)	Chr9	"11,745,997"	"11,754,981"
GRMZM2G177104	ga2ox12	gibberellin 2-oxidase12	"Nelissen, et al. (2012)"	Chr7	"725,316"	"726,416"
GRMZM2G177110	lbd14	LBD-transcription factor 14	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"209,518,630"	"209,519,766"
GRMZM2G177145	pet3	photosynthetic electron transport3		Chr2	"5,103,401"	"5,103,769"
GRMZM2G177165	chr101	chromatin complex subunit A 101		Chr2	"237,177,008"	"237,182,832"
GRMZM2G177169	l15	luteus15	rom B73_v2 alignment to cDNA FJ490677.1 GI:218684530 (July 2011) 	Chr6	"95,481,573"	"95,484,475"
GRMZM2G177182	IDP2579			Chr10	"99,393,377"	"99,395,312"
GRMZM2G177203	IDP524			Chr10	"99,396,188"	"99,399,730"
GRMZM2G177220	arr6	ARR-B-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"165,939,858"	"165,943,821"
GRMZM2G177227	GRMZM2G177227			Chr3	"165,900,464"	"165,902,629"
GRMZM2G177229	c3h40	C3H-transcription factor 340	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"133,562,993"	"133,564,875"
GRMZM2G177244	abi31	ABI3-VP1-transcription factor 31	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"165,897,795"	"165,900,405"
GRMZM2G177276	uce2	ubiquitin conjugating enzyme2	"Hawkins et al., 2014"	Chr9	"11,707,996"	"11,712,257"
GRMZM2G177386	prh12	protein phosphatase homolog12		Chr6	"161,744,096"	"161,747,484"
GRMZM2G177412	gtr1	glutamyl-tRNA reductase1	from: W21756; B73_v2 model provided by A Huffaker May 2013 for propep2	Chr10	"144,041,132"	"144,046,169"
GRMZM2G177508	pba1	PBA1 homolog1	from: EU962752 (chr1 hit)	Chr1	"5,582,721"	"5,584,189"
GRMZM2G177621	umc2658			Chr10	"76,960,121"	"76,966,949"
GRMZM2G177631	cesa8	cellulose synthase8	Classical Gene	Chr7	"26,503,597"	"26,509,680"
GRMZM2G177693	umc2152			Chr3	"219,659,124"	"219,663,410"
GRMZM2G177760	mybr8	MYB-related-transcription factor 8	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr8	"62,405,348"	"62,407,503"
GRMZM2G177792	prx35	peroxidase35	"Lopez-Castillo et al., 2015"	Chr10	"86,298,080"	"86,299,400"
GRMZM2G177812	abcg11	ABC transporter G family member 11	"Belcher et al., 2015"	Chr2	"24,498,593"	"24,503,843"
GRMZM2G177895	fha9	FHA-transcription factor 9	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"230,599,139"	"230,600,906"
GRMZM2G177974	hxa102	histone acetyltransferase complex component102	"mybr66 assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"276,758,755"	"276,765,477"
GRMZM2G178038	umc104b			Chr5	"214,755,720"	"214,760,368"
GRMZM2G178072	phd14	PHD-transcription factor 14	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"152,453,261"	"152,461,059"
GRMZM2G178074	ppck1	phosphoenolpyruvate carboxylase kinase1	from B73_V2 aligment to sequence AY911413	Chr5	"214,764,762"	"214,766,299"
GRMZM2G178079	gst37	glutathione transferase37		Chr1	"81,588,783"	"81,594,131"
GRMZM2G178102	hb25	Homeobox-transcription factor 25	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"123,281,942"	"123,288,759"
GRMZM2G178106	umc1137			Chr9	"153,573,867"	"153,579,170"
GRMZM2G178120	umc2794			Chr9	"153,596,853"	"153,606,034"
GRMZM2G178182	bhlh23	bHLH-transcription factor 23	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"193,433,358"	"193,435,869"
GRMZM2G178192	adk1	adenylate kinase1		Chr6	"2,450,158"	"2,455,264"
GRMZM2G178261	grftf1	GRF-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"272,415,607"	"272,419,742"
GRMZM2G178356	kch7	potassium channel7	"Gao et al., 2017"	Chr5	"144,352,699"	"144,356,712"
GRMZM2G178415	gdh1	glutamic dehydrogenase1	Classical Gene	Chr1	"287,360,596"	"287,367,735"
GRMZM2G178435	chr167	chromatin complex subunit A 167		Chr4	"150,839,277"	"150,844,692"
GRMZM2G178460	paac1	putative  ADP-ATP carrier1		Chr3	"39,820,091"	"39,823,461"
GRMZM2G178517	nit1	nitrilase1	B73_v2 alignment to sequence accession AY156979	Chr5	"188,512,723"	"188,518,155"
GRMZM2G178546	trpp11	trehalose-6-phosphate phosphatase11	"Zhou et al., 2013"	Chr9	"117,179,608"	"117,183,243"
GRMZM2G178576	ndpk1	nucleoside diphosphate kinase1	"Kopylov et al., 2015"	Chr1	"94,688,138"	"94,693,847"
GRMZM2G178603	tcptf16	TCP-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"188,505,434"	"188,506,555"
GRMZM2G178671	wrky54	WRKY-transcription factor 54	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"180,652,901"	"180,653,592"
GRMZM2G178693	pip2a	plasma membrane intrinsic protein2	Classical Gene	Chr2	"28,493,204"	"28,495,467"
GRMZM2G178741	hb22	Homeobox-transcription factor 22	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr9	"151,525,953"	"151,528,343"
GRMZM2G178756	cdpk14	calcium dependent protein kinase14	from: EU946805	Chr6	"62,895,992"	"62,899,068"
GRMZM2G178767	dof12	C2C2-Dof-transcription factor 12	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"19,549,995"	"19,551,017"
GRMZM2G178769	hct8	hydroxycinnamoyltransferase8	"Wang et al.,2015"	Chr3	"21,151,937"	"21,153,907"
GRMZM2G178859	cox10a	cytochrome c oxidase subunit10a		Chr9	"151,555,699"	"151,560,952"
GRMZM2G178958	pco101682(581)		from: AY103547	Chr5	"213,590,124"	"213,594,002"
GRMZM2G178998	nactf131	NAC-transcription factor 131	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"23,327,304"	"23,330,538"
GRMZM2G179021	srs8	SHI/STY (SRS)-transcription factor 8	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"143,145,425"	"143,146,225"
GRMZM2G179024	GRMZM2G179024			Chr7	"143,149,748"	"143,155,381"
GRMZM2G179049	nactf35	NAC-transcription factor 35	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"193,103,406"	"193,105,706"
GRMZM2G179069	dof3	DNA binding with one finger3		Chr6	"36,946,638"	"36,948,605"
GRMZM2G179092	tps10	terpene synthase10	from AY928078	Chr10	"74,488,739"	"74,492,309"
GRMZM2G179121	arftf33	ARF-transcription factor 33	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"158,940,439"	"158,942,519"
GRMZM2G179147	abh1	abscisic acid 8'-hydroxylase1	aligns to sequence DR806072	Chr5	"200,705,194"	"200,707,991"
GRMZM2G179264	pebp8	phosphatidylethanolamine-binding protein8	Classical Gene	Chr8	"123,030,387"	"123,032,175"
GRMZM2G179264	pebp8	phosphatidylethanolamine-binding protein8		Chr8	"123,030,387"	"123,032,175"
GRMZM2G179268	stk2	serine-threonine kinase2	from: ABF81696	Chr2	"41,122,571"	"41,124,341"
GRMZM2G179294	npf5	nitrate transporter/peptide transporter family5		Chr5	"180,782,642"	"180,783,869"
GRMZM2G179308	AY111089			Chr5	"180,787,355"	"180,790,720"
GRMZM2G179325	gras3	GRAS-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"155,690,714"	"155,694,188"
GRMZM2G179349	sweet13c	sugars will eventually be exported transporter13c	"Sosso et al., 2015"	Chr3	"108,721,006"	"108,722,375"
GRMZM2G179366	bbr1	BBR/BPC-transcription factor 1	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"192,523,101"	"192,525,654"
GRMZM2G179454	cmu2	chorismate mutase2	aligns to sequence EU951879.1  GI:195604333	Chr5	"92,220,297"	"92,223,624"
GRMZM2G179459	umc1560			Chr2	"202,966,676"	"202,972,005"
GRMZM2G179462	pmpm4	proteolipid membrane potential regulator4	"from alignment to sequence file in Fu et al 2012, and to EU954642"	Chr1	"43,986,382"	"43,987,175"
GRMZM2G179658	vps2	vacuolar protein sorting2		Chr5	"213,795,955"	"213,800,058"
GRMZM2G179662	vps2	vacuolar protein sorting2		Chr5	"213,805,700"	"213,814,223"
GRMZM2G179677	iddp1	indeterminate domain p1	from: AY754867	Chr1	"206,161,656"	"206,168,807"
GRMZM2G179679	sweet3a	sugars will eventually be exported transporter3a	"Sosso et al., 2015"	Chr8	"112,056,618"	"112,058,331"
GRMZM2G179703	hct12	hydroxycinnamoyltransferase12		Chr1	"202,955,872"	"202,958,418"
GRMZM2G179768	GRMZM2G179768			Chr5	"205,986,569"	"205,987,795"
GRMZM2G179792	pld7	phospholipase D7	"Chen et al., 2016"	Chr1	"67,777,685"	"67,781,676"
GRMZM2G179802	hsftf29	HSF-transcription factor 29	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"162,047,215"	"162,053,475"
GRMZM2G179814	atx5	arabidopsis trithorax homolog5	part of Zm00001d011490 in v4	Chr8	"147,263,113"	"147,264,543"
GRMZM2G179885	nactf132	NAC-transcription factor 132	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"158,275,103"	"158,277,300"
GRMZM2G179976	umc2282			Chr4	"36,155,816"	"36,158,310"
GRMZM2G180086	jmj16	JUMONJI-transcription factor 16	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"44,657,285"	"44,663,403"
GRMZM2G180150	brk3	brick3	"Facette, MR et al. 2015"	Chr10	"2,033,382"	"2,034,248"
GRMZM2G180168	abi23	ABI3-VP1-transcription factor 23	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"78,160,467"	"78,161,649"
GRMZM2G180190	zfl2	Zea floricaula leafy2	Classical Gene	Chr2	"12,649,206"	"12,652,213"
GRMZM2G180190	zfl2	Zea floricaula leafy2		Chr2	"12,649,206"	"12,652,213"
GRMZM2G180244	nbs42	nucleotide-binding site42		Chr10	"2,052,395"	"2,058,076"
GRMZM2G180246	gif1	growth-regulating-factor-interacting factor1	"Nelissen et al., 2015"	Chr1	"273,393,236"	"273,396,891"
GRMZM2G180283	sm2	salmon silk2	"Casas et al., 2016"	Chr2	"202,536,125"	"202,537,725"
GRMZM2G180319	lbd30	LBD-transcription factor 30	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"85,751,370"	"85,752,655"
GRMZM2G180328	nactf20	NAC-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"148,062,214"	"148,064,233"
GRMZM2G180399	sacd2	stearoyl-acyl-carrier-protein desaturase2	"from DQ192663 (sequence from Du et al., 2016)"	Chr8	"161,386,924"	"161,390,467"
GRMZM2G180406	bhlh32	bHLH-transcription factor 32	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"162,105,905"	"162,109,184"
GRMZM2G180418	ptac17	plastid transcriptionally active17		Chr5	"214,171,178"	"214,181,309"
GRMZM2G180430	dbptf2	DBP-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr5	"214,138,462"	"214,147,660"
GRMZM2G180452	bhlh3	bHLH-transcription factor 3	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"29,260,545"	"29,264,281"
GRMZM2G180471	pco139265			Chr10	"143,089,757"	"143,102,281"
GRMZM2G180555	mkkk10	MAP kinase kinase kinase10	from Kong et al 2013	Chr9	"141,628,047"	"141,638,073"
GRMZM2G180568	tcptf38	TCP-transcription factor 38	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"168,258,012"	"168,259,093"
GRMZM2G180625	gpc2	glyceraldehyde-3-phosphate dehydrogenase2	Classical Gene	Chr6	"6,901,483"	"6,906,034"
GRMZM2G180654	arid8	ARID-transcription factor 8	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr6	"98,248,764"	"98,255,015"
GRMZM2G180704	snrk1a2	SNF1-related kinase alpha1-like2		Chr2	"154,579,939"	"154,587,570"
GRMZM2G180720	gpt1	glucose 6-phosphate/phosphate translocator1	from: AF020813	Chr10	"58,309,702"	"58,313,911"
GRMZM2G180724	rpl15b	60S ribosomal protein L15		Chr7	"149,310,459"	"149,313,123"
GRMZM2G180847	bzip65	bZIP-transcription factor 65	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"194,071,950"	"194,077,869"
GRMZM2G180863	AW257883			Chr9	"101,615,191"	"101,619,776"
GRMZM2G180916	snrkII3	SnRK2 serine threonine protein kinase3	from sequence EU676035	Chr1	"94,897,504"	"94,901,091"
GRMZM2G180947	cadtfr6	CCAAT-DR1-transcription factor 6	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"211,052,666"	"211,054,021"
GRMZM2G180979	c3h17	C3H-transcription factor 317	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"263,796,852"	"263,800,378"
GRMZM2G181028	phyA2	phytochromeA2	from: AY260865	Chr5	"10,111,505"	"10,117,216"
GRMZM2G181030	mybr111	MYB-related-transcription factor 111	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"134,854,638"	"134,857,160"
GRMZM2G181051	meg11	maternally expressed gene11	"Xiong et al., 2014"	Chr7	"12,626,477"	"12,627,199"
GRMZM2G181158	phd31	PHD-transcription factor 31	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr2	"201,783,834"	"201,787,692"
GRMZM2G181192	glx1	glyoxylase1	from: AY241545	Chr10	"60,090,336"	"60,096,837"
GRMZM2G181251	pza02961			Chr10	"16,210,496"	"16,218,008"
GRMZM2G181254	arftf32	ARF-transcription factor 32	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"159,192,608"	"159,194,386"
GRMZM2G181258	trm1	thioredoxin M1		Chr10	"16,218,811"	"16,219,788"
GRMZM2G181276	mab12	math-btb12	"Juranic et al., 2012"	Chr1	"262,061,380"	"262,063,351"
GRMZM2G181362	lkrsdh1	lysine-ketoglutarate reductase/saccharopine dehydrogenase1	Classical Gene	Chr4	"175,769,672"	"175,780,762"
GRMZM2G181546	umc1293			Chr10	"2,405,084"	"2,406,195"
GRMZM2G181605	nactf2	NAC-transcription factor 2	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr7	"173,780,290"	"173,782,115"
GRMZM2G300125	prh20	protein phosphatase homolog20		Chr8	"147,450,967"	"147,456,224"
GRMZM2G300133	td1	thick tassel dwarf1	"From sequence in Fig 4 of Bommert et al., 2005"	Chr5	"61,698,661"	"61,702,214"
GRMZM2G300135	piip2	physical impedance induced protein2	from: AF001635	Chr5	"61,702,710"	"61,706,176"
GRMZM2G300348	y1	yellow endosperm1	from B73_v2 alignment to NCBI Reference Sequence: NM_001114652.2	Chr6	"82,180,486"	"82,184,345"
GRMZM2G300408	tha5	thylakoid assembly5	provided by A Barkan (2010)	Chr9	"14,541,001"	"14,542,356"
GRMZM2G300924	ereb170	AP2-EREBP-transcription factor 170	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr4	"146,313,370"	"146,315,508"
GRMZM2G300955	sdg119	set domain gene119		Chr2	"177,370,536"	"177,375,918"
GRMZM2G300969	umc1962			Chr10	"24,619,520"	"24,622,715"
GRMZM2G301031	atg18i	autophagy18i		Chr1	"236,282,952"	"236,289,928"
GRMZM2G301071	umc106a			Chr1	"274,775,918"	"274,780,056"
GRMZM2G301089	bhlh103	bHLH-transcription factor 103	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr1	"274,801,584"	"274,803,327"
GRMZM2G301098	mbd119	methyl binding domain119		Chr1	"182,446,629"	"182,451,070"
GRMZM2G301405	dcl105	dicer-like 105	from ChromDB sequence	Chr5	"19,916,753"	"19,927,967"
GRMZM2G301485	hsftf20	HSF-transcription factor 20	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr10	"137,124,859"	"137,126,235"
GRMZM2G301585	umc2027			Chr4	"155,555,161"	"155,558,241"
GRMZM2G301642	mybr76	MYB-related-transcription factor 76	"assigned by the Grassius project, (Yilmaz et al 2009)"	Chr3	"45,267,830"	"45,269,717"
GRMZM2G301647	stk3	serine-threonine kinase3	"Wang et al., 2017"	Chr4	"175,306,259"	"175,309,558"
